"","volume","church","page","city","state","start.date","end.date","communion.general","converts","under.instruction","diocese","type","mission.number","communion.adults","communion.children","communion.men","communion.women","order","notes","converts.adult","converts.children","location"
"63",1,"St. Peter's Church",102,"Wilmington","DE","10/12/1856","10/23/1856",1700,"",NA,"Philadelphia","mission",63,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Wilmington DE"
"64",1,"St. Patrick's Church",106,"Washington","DC","11/2/1856","11/15/1856",2700,"several",NA,"Baltimore","mission",64,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Washington DC"
"65",1,"St. John's Church",111,"Savannah","GA","11/23/1856","12/7/1856",2500,"several",NA,"Savannah","mission",65,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Savannah GA"
"66",1,"Church of the Immaculate Conception",113,"Atlanta","GA","12/14/1856","12/19/1856",190,"several",NA,"Savannah","mission",66,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Atlanta GA"
"67",1,"Church of the Assumption of the Blessed Virgin Mary",114,"Macon","GA","12/21/1856","12/28/1856",210,"several",NA,"Savannah","mission",67,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Macon GA"
"68",1,"St. Philip and James' Church",116,"Columbus","GA","1/4/1857","1/11/1857",170,"1",NA,"Savannah","mission",68,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Columbus GA"
"69",1,"Trinity Church",119,"Augusta","GA","12/14/1856","12/24/1856",750,"",NA,"Savannah","mission",69,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Augusta GA"
"70",1,"",126,"St. Augustine","FL","1/4/1857","1/11/1857",600,"",NA,"","mission",70,NA,NA,NA,NA,"Redemptorist","",NA,NA,"St. Augustine FL"
"71",1,"Cathedral of St. John and St. Finabarr",129,"Charleston","SC","1/25/1857","2/8/1857",3100,"20",NA,"Charleston","mission",71,NA,200,NA,NA,"Redemptorist","",NA,NA,"Charleston SC"
"72",1,"St. Mary's Church",133,"Roudout","NY","3/1/1857","3/15/1857",2200,"",NA,"","mission",72,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Roudout NY"
"73",1,"St. Mary's Church",136,"Hudson","NY","3/22/1857","3/29/1857",800,"",NA,"","mission",73,NA,NA,NA,NA,"Redemptorist","",NA,NA,"Hudson NY"
