volume,page,mission.number,type,church,city,state,start.date,end.date,communion.general,converts,under.instruction,diocese,communion.adults,communion.children,communion.men,communion.women,order,notes,converts.adult,converts.children,location,confirmed,pledges
4,287,,mission,St. Cecilia's Church,Boston,MA,12/4/1892,12/11/1892,2580,,,,,,,,,,,,,,
4,288,,mission,St. Stephen's Church,Brooklyn,NY,12/4/1892,12/18/1892,3880,,,,,200,1530,2150,,,,,,,600
4,289,,mission,Church of the Immaculate Conception,East Weymouth,MA,1/1/1893,1/11/1893,1300,3,,,,,,,,,,,,,
4,290,,mission,St. Mary's Church,Dedham,MA,1/1/1893,1/11/1893,1600,,,,,,,,,,,,,,1000
4,292,,mission,Church of the Immaculate Conception,Cleveland,OH,1/1/1893,1/13/1893,2950,5,,,,,1450,1500,,,,,,,
4,293,,mission,,Port Ewen,NY,1/22/1893,1/29/1893,284,,,,,,,,,,,,,,
4,294,,mission,St. Mary's Church,New Britain,CT,1/15/1893,1/29/1893,5285,4,,,,625,2245,2415,,,,,,,2430
4,296,,mission,St. Mary's Church,Roudout,NY,1/29/1893,2/12/1893,3000,5,,,,400,1200,1400,,,,,,500,
4,297,,mission,St. Cecilia's Church,New York,NY,2/12/1893,3/12/1893,7550,20,,,,550,3200,3800,,,,,,,600
4,299,,mission,St. Gabriel's Church,New York,NY,2/19/1893,3/19/1893,8637,,,,,1200,2800,4577,,,,,,,2593
4,300,,mission,St. John's Cathedral,Cleveland,OH,3/19/1893,4/2/1893,3750,,,,,600,2120,3030,,,,,,,
4,302,,mission,Church of the Visitation,Philadelphia,PA,3/19/1893,4/2/1893,4800,12,,,,600,1900,2300,,,,,,,
4,303,,mission,Church of the Assumption,Morristown,NJ,4/9/1893,4/23/1893,2087,3,,,,287,750,1050,,,,,,,450
4,305,,mission,St. John's Church,Bellefonte,PA,4/9/1893,4/16/1893,760,4,,,,,,,,,,,,,363
4,307,,mission,,Meadville,PA,4/9/1893,4/17/1893,900,1,,,,,,,,,,,,,
4,308,,mission,,Sayre,PA,4/9/1893,4/16/1893,700,3,,,,,,,,,,,,,
4,309,,mission,St. Patrick's Church,Norwich,CT,4/23/1893,5/7/1893,4060,3,,,,425,1525,2110,,,,,,,
4,311,,mission,St. Malachy's Church,Chicago,IL,4/23/1893,5/7/1893,2250,4,,,,250,800,1200,,,,,,,
4,312,,retreat,St. Matthew's Church,Washington,DC,4/23/1893,4/23/1893,600,,,,,,,,,,,,,,
4,313,,mission,Immaculate Conception Church,Portsmouth,NH,4/30/1893,5/7/1893,1350,,,,,,,,,,,,,,45
4,314,,mission,St. Thomas's Church,"Woodberry, Baltimore",Maryland,5/15/1893,5/21/1893,670,,,,,,,,,,,,,,
4,315,,mission,Manhattan College,New York,NY,3/26/1893,3/29/1893,200,,,,,,,,,,,,,,
4,315,,mission,Classon-on-the-Sound,New York,NY,5/8/1893,5/12/1893,120,,,,,,,,,,,,,,
4,316,,mission,St. Patrick's Church,Whitinsville,MA,5/14/1893,5/24/1893,910,,,,,,,,,,,,,,380
4,318,,mission,St. Rose's Church,"West Brighton, Staten Island",NY,5/7/1893,5/28/1893,1685,5,,,,250,610,825,,,,,,,
4,320,,mission,,North Weymouth,MA,5/24/1893,5/28/1893,240,,,,,,,,,,,,,,
4,321,,mission,,Broad Brook,CT,5/14/1893,5/21/1893,312,,,,,,,,,,,,,,
4,322,,mission,St. Thomas's Church,Southington,CT,5/14/1893,5/21/1893,840,,,,,,,,,,,,,,
4,323,,mission,St. Rose of Lima's Church,Suffern,NY,5/21/1893,5/28/1893,217,1,,,,,,,,,,,,,
4,323,,mission,,Tuxedo,NY,5/28/1893,6/4/1893,146,2,,,,,,,,,,,,,
