volume,page,mission_number,type,church,city,state,start_date,end_date,confessions_total,converts,under_instruction,diocese,confessions_adults,confessions_children,confessions_men,confessions_women,order,notes,converts_adult,converts_children,temperance_pledges,confirmed
1,266,31,mission,St. James Church,New York,NY,11/25/1860,12/9/1860,6950,10,,New York,,,,,Paulist,,,,,
1,271,32,mission,St. John Baptist Church,Boston,MA,12/30/1860,1/10/1861,4550,,,Boston,,,,,Paulist,,,,,
1,274,33,mission,St. Gregory's Church,Haverhill,MA,1/20/1861,1/28/1861,1002,4,,Boston,,,,,Paulist,,,,,
1,276,34,mission,Church of the Holy Redeemer,East Boston,MA,2/13/1861,2/27/1861,2900,,,Boston,,,,,Paulist,,,,,
1,278,35,mission,Church of the Immaculate Conception,Newburyport,MA,3/3/1861,3/13/1861,1900,,,Boston,,,,,Paulist,,,,,
1,281,36,mission,,Pittston,PA,4/14/1861,4/22/1861,1980,3,,,,,,,Paulist,,,,,
1,282,37,mission,,Holyoke,MA,4/28/1861,5/9/1861,1850,5,,Boston,,,,,Paulist,,,,,
1,284,38,mission,St. Mary's Church,Elizabeth,NJ,10/6/1861,10/14/1861,950,1,,,,,,,Paulist,,,,,
1,285,39,mission,St. Michael's Church,New York,NY,11/17/1861,11/28/1861,4000,,,New York,,,,,Paulist,,,,,
1,287,40,mission,,Newport,NY,12/29/1861,1/5/1862,370,1,,,,,,,Paulist,,,,,
1,291,41,mission,,Dunmore,PA,1/19/1862,1/26/1862,700,,,,,,,,Paulist,,,,,
1,291,42,mission,St. Philomena's Church,Rawley,PA,2/2/1862,2/10/1862,1150,1,,,,,,,Paulist,,,,,
1,292,43,mission,St. John's Church,Orange,NJ,2/2/1862,2/9/1862,1000,2,,,,,,,Paulist,,,,,
1,293,44,mission,Church of the Immaculate Conception,New York,NY,3/2/1862,3/16/1862,6800,1,,New York,,,,,Paulist,,,,,
1,295,45,mission,St. Stephen's Church,New York,NY,3/30/1862,4/6/1862,2400,,,New York,,,,,Paulist,,,,,
1,295,46,mission,,Scranton ,PA,5/18/1862,5/29/1862,2500,,,,,,,,Paulist,,,,,
1,296,47,mission,St. Peter's Church,Cambridge,MA,4/27/1862,5/7/1862,2500,2,,Boston,,,,,Paulist,,,,,
2,1,,mission,St. John's Church,Stamford,CT,9/28/1862,10/5/1862,900,2,,,,,,,Paulist,,,,,
2,2,,mission,Church of the Immaculate Conception,Jersey City,NJ,10/12/1862,10/23/1862,2875,,,,,,,,Paulist,,,,,
2,3,,mission,St. Mary's Cathedral,Halifax,NS,11/30/1862,12/8/1862,5636,4,,Halifax,,,,,Paulist,,,,,
2,4,,mission,Nativity Church,New York,NY,1/4/1863,1/16/1863,3500,,,New York,,,,,Paulist,,,,,
2,5,,mission,Church of St. Rose of Lima,Carbondale,PA,1/25/1863,2/3/1863,2100,7,,,,,,,Paulist,,,,,
2,6,,mission,Assumption Church,Philadelphia,PA,2/15/1863,2/26/1863,1500,,,,,,,,Paulist,,,,,
2,7,,mission,Cathedral of the Holy Cross,Boston,MA,3/8/1863,3/17/1863,3000,,,Boston,,,,,Paulist,,,,,
2,8,,mission,Church of the Most Holy Name of Jesus,Chicopee,MA,4/12/1863,4/20/1863,2600,3,,Boston,,,,,Paulist,,,,,
2,9,,mission,St. Joseph's Church,Pittsfield,MA,5/3/1863,5/12/1863,2000,1,,,,,,,Paulist,,,,,
2,10,,mission,Church of Our Lady of Mercy,Port Chester,NY,9/13/1863,9/21/1863,710,1,,New York,,,,,Paulist,,,,,
2,11,,mission,Cathedral of the Holy Name,Chicago,IL,10/4/1863,10/14/1863,2600,8,,Chicago,,,,,Paulist,,,,,
2,12,,mission,St. Patrick's Cathedral,St. Louis,MO,10/25/1863,11/4/1863,2500,3,,St. Louis,,,,,Paulist,,,,,
2,13,,mission,St. John's Church,St. Louis,MO,11/15/1863,11/24/1863,1300,,,,,,,,Paulist,,,,,
2,14,,mission,St. Theresa's ,New York,NY,1/3/1864,1/15/1864,4500,6,,New York,,,,,Paulist,,,,,
2,15,,mission,St. John's Church,Honesdale,PA,1/24/1864,2/1/1864,1400,1,,Philadelphia,,,,,Paulist,,,,,
2,17,,mission,Church of the Immaculate Conception,Stoughton,MA,2/14/1864,2/21/1864,567,,,,,,,,Paulist,,,,,
2,18,,mission,Church of St. John the Baptist,Trenton,NJ,2/28/1864,3/10/1864,2800,10,,,,,,,Paulist,,,,,
2,21,,mission,Church of St. Patrick,North Bridgewater,MA,4/3/1864,4/10/1864,1100,1,,,,,,,Paulist,,,,,
2,23,,mission,,Webster,MA,4/17/1864,4/24/1864,700,,,,,,,,Paulist,,,,,
